provincia,periodo,anio,area,sexo,poblacion_15_mas,pea,ocupados,desocupados,tasa_desempleo,tasa_participacion,tasa_actividad_total,tasa_actividad_urbana,tasa_actividad_rural,pct_jovenes_pea,pct_mayores_pea,pct_sector_primario,pct_sector_secundario,pct_sector_terciario,pct_sin_educacion,pct_primaria,pct_secundaria,pct_universitaria,pct_subempleo,pct_microempresa,pct_empresa_grande,mediana_salario,empleo_informal_pct,pib_crecimiento,inflacion,indice_gini,gasto_educacion_pib,desempleo_juvenil_nacional,exportaciones_pib,pib_per_capita,poblacion_total_nacional
Bocas del Toro,2011-08,2011,rural,hombres,23844.0,18471.0,17353.0,1118.0,6.052731308537708,77.46602918973326,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,rural,mujeres,21359.0,5525.0,5122.0,403.0,7.294117647058823,25.867315885575167,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,rural,total,45203.0,23996.0,22475.0,1521.0,6.338556426071011,53.084972236355995,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,total,hombres,41588.0,31149.0,28559.0,2590.0,8.314873671706957,74.8990093296143,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,total,mujeres,39332.0,12726.0,11630.0,1096.0,8.612289800408613,32.35533407912133,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,total,total,80920.0,43875.0,40189.0,3686.0,8.401139601139601,54.220217498764214,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,urbana,hombres,17744.0,12678.0,11206.0,1472.0,11.610664142609245,71.44950405770965,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,urbana,mujeres,17973.0,7201.0,6508.0,693.0,9.623663380086098,40.06565403661047,,,,,,,,,,,,,,,,,,,,,,,,,
Bocas del Toro,2011-08,2011,urbana,total,35717.0,19879.0,17714.0,2165.0,10.890889883796971,55.65697007027466,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,rural,hombres,71491.0,57354.0,56092.0,1262.0,2.200369634201625,80.22548292792099,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,rural,mujeres,69844.0,19840.0,19612.0,228.0,1.1491935483870968,28.406162304564457,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,rural,total,141335.0,77194.0,75704.0,1490.0,1.9302018291577066,54.617752149149176,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,total,hombres,146127.0,113065.0,109109.0,3956.0,3.4988723300756206,77.37447562736523,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,total,mujeres,157506.0,58929.0,57201.0,1728.0,2.9323423102377437,37.41381280713116,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,total,total,303633.0,171994.0,166310.0,5684.0,3.3047664453411167,56.64535804737957,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,urbana,hombres,74636.0,55711.0,53017.0,2694.0,4.83566979591104,74.64360362291656,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,urbana,mujeres,87662.0,39089.0,37589.0,1500.0,3.837396710071887,44.59058657114827,,,,,,,,,,,,,,,,,,,,,,,,,
Chiriquí,2011-08,2011,urbana,total,162298.0,94800.0,90606.0,4194.0,4.424050632911392,58.41107099286498,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,rural,hombres,56400.0,47807.0,46954.0,853.0,1.7842575355073524,84.76418439716312,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,rural,mujeres,51253.0,21791.0,20603.0,1188.0,5.451792024230187,42.51653561742727,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,rural,total,107653.0,69598.0,67557.0,2041.0,2.9325555332049773,64.65031164946635,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,total,hombres,85750.0,70676.0,68471.0,2205.0,3.119870960439187,82.42099125364432,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,total,mujeres,85111.0,37141.0,34536.0,2605.0,7.013812229072992,43.63830762181152,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,total,total,170861.0,107817.0,103007.0,4810.0,4.461263066121298,63.102170770392306,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,urbana,hombres,29350.0,22869.0,21517.0,1352.0,5.911933184660458,77.91822827938671,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,urbana,mujeres,33858.0,15350.0,13933.0,1417.0,9.231270358306189,45.33640498552779,,,,,,,,,,,,,,,,,,,,,,,,,
Coclé,2011-08,2011,urbana,total,63208.0,38219.0,35450.0,2769.0,7.2450875219131845,60.46544741172003,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,rural,hombres,25236.0,21552.0,21030.0,522.0,2.4220489977728286,85.40180694246314,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,rural,mujeres,24326.0,9857.0,9501.0,356.0,3.6116465456021105,40.520430814766094,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,rural,total,49562.0,31409.0,30531.0,878.0,2.7953771212072973,63.37314878334208,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,total,hombres,80447.0,63944.0,61485.0,2459.0,3.845552358313524,79.48587268636493,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,total,mujeres,89692.0,43833.0,41262.0,2571.0,5.86544384367942,48.87057931588102,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,total,total,170139.0,107777.0,102747.0,5030.0,4.66704398897724,63.34644026354922,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,urbana,hombres,55211.0,42392.0,40455.0,1937.0,4.569258350632195,76.78180072811578,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,urbana,mujeres,65366.0,33976.0,31761.0,2215.0,6.51930774664469,51.97809258635988,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2011-08,2011,urbana,total,120577.0,76368.0,72216.0,4152.0,5.436832181018227,63.33546198694609,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2011-08,2011,total,hombres,3544.0,3157.0,3137.0,20.0,0.6335128286347799,89.08013544018058,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2011-08,2011,total,mujeres,3002.0,954.0,954.0,0.0,0.0,31.778814123917385,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2011-08,2011,total,total,6546.0,4111.0,4091.0,20.0,0.48649963512527367,62.8017109685304,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2011-08,2011,total,hombres,10264.0,8204.0,8204.0,0.0,0.0,79.9298519095869,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2011-08,2011,total,mujeres,12405.0,6024.0,6024.0,0.0,0.0,48.561064087061666,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2011-08,2011,total,total,22669.0,14228.0,14228.0,0.0,0.0,62.76412722219772,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2011-08,2011,total,hombres,43143.0,34215.0,33757.0,458.0,1.3385941838374982,79.30602878798415,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2011-08,2011,total,mujeres,53942.0,23968.0,23759.0,209.0,0.8719959946595461,44.43290942123021,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2011-08,2011,total,total,97085.0,58183.0,57516.0,667.0,1.146382964096042,59.92995828397796,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,rural,hombres,15429.0,13695.0,13592.0,103.0,0.7520993063161738,88.76142329379739,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,rural,mujeres,13696.0,4300.0,4124.0,176.0,4.093023255813953,31.39602803738318,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,rural,total,29125.0,17995.0,17716.0,279.0,1.550430675187552,61.78540772532188,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,total,hombres,16751.0,14819.0,14611.0,208.0,1.4036034820163306,88.46636021730046,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,total,mujeres,15288.0,5190.0,4967.0,223.0,4.296724470134874,33.948194662480375,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,total,total,32039.0,20009.0,19578.0,431.0,2.154030686191214,62.452011610849276,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,urbana,hombres,1322.0,1124.0,1019.0,105.0,9.341637010676157,85.02269288956127,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,urbana,mujeres,1592.0,890.0,843.0,47.0,5.280898876404494,55.904522613065325,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2011-08,2011,urbana,total,2914.0,2014.0,1862.0,152.0,7.547169811320755,69.11461908030199,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,rural,hombres,19946.0,16078.0,15931.0,147.0,0.9142928224903596,80.6076406297002,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,rural,mujeres,18428.0,5682.0,5183.0,499.0,8.78211897219289,30.833514217495118,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,rural,total,38374.0,21760.0,21114.0,646.0,2.96875,56.70506071819461,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,total,hombres,42326.0,33177.0,32243.0,934.0,2.815203303493384,78.38444454944951,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,total,mujeres,44877.0,19862.0,18679.0,1183.0,5.956097069781492,44.25875169908862,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,total,total,87203.0,53039.0,50922.0,2117.0,3.991402552838477,60.822448768964364,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,urbana,hombres,22380.0,17099.0,16312.0,787.0,4.602608339668986,76.40303842716712,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,urbana,mujeres,26449.0,14180.0,13496.0,684.0,4.823695345557122,53.612612953230744,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2011-08,2011,urbana,total,48829.0,31279.0,29808.0,1471.0,4.702835768406918,64.05824407626616,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2011-08,2011,rural,hombres,25165.0,20830.0,20582.0,248.0,1.1905904944791168,82.77369362209419,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2011-08,2011,rural,mujeres,23785.0,9651.0,9479.0,172.0,1.782198735882292,40.57599327307126,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2011-08,2011,rural,total,48950.0,30481.0,30061.0,420.0,1.377907548964929,62.26966292134831,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2011-08,2011,total,hombres,36180.0,29477.0,29030.0,447.0,1.5164365437459715,81.47318960751797,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2011-08,2011,total,mujeres,37113.0,16216.0,15789.0,427.0,2.6332017760236806,43.69358445827608,,,,,,,,,,,,,,,,,,,,,,,,,
