provincia,periodo,anio,area,sexo,tasa_desempleo,prediccion,residuo,riesgo_real,riesgo_predicho
Bocas del Toro,2011-08,2011,rural,hombres,6.052731308537708,6.5335083,-0.4807769922435421,moderado,moderado
Bocas del Toro,2012-08,2012,rural,hombres,6.505921716501143,6.1470904,0.35883128147306653,moderado,moderado
Bocas del Toro,2013-08,2013,rural,hombres,6.448321599836751,5.892512,0.5558097552017411,moderado,bajo
Bocas del Toro,2014-03,2014,rural,hombres,6.428681020815221,6.9323235,-0.5036424349953261,moderado,moderado
Bocas del Toro,2014-08,2014,rural,hombres,7.023657602827132,7.949977,-0.9263193182544107,moderado,moderado
Bocas del Toro,2015-03,2015,rural,hombres,6.981499513145082,7.0446935,-0.06319395685613838,moderado,moderado
Bocas del Toro,2015-08,2015,rural,hombres,7.0922655585985455,7.040604,0.05166144406607476,moderado,moderado
Bocas del Toro,2016-03,2016,rural,hombres,7.268195413758724,6.879948,0.38824727456804986,moderado,moderado
Bocas del Toro,2016-08,2016,rural,hombres,3.0542179418583912,2.976341,0.07787693271837659,bajo,bajo
Bocas del Toro,2017-08,2017,rural,hombres,5.0503650309583215,4.7015,0.3488650919934777,bajo,bajo
Bocas del Toro,2018-08,2018,rural,hombres,6.447852210564076,5.708707,0.7391453547901499,moderado,bajo
Bocas del Toro,2019-08,2019,rural,hombres,8.242376992376993,7.7276645,0.5147125217043858,critico,moderado
Bocas del Toro,2021-10,2021,rural,hombres,9.620954539730512,9.476815,0.1441393160366644,critico,critico
Bocas del Toro,2022-04,2022,rural,hombres,12.0970785838303,11.258498,0.8385803919968033,critico,critico
Bocas del Toro,2023-08,2023,rural,hombres,8.959460993981603,8.492712,0.46674897310757935,critico,critico
Bocas del Toro,2024-10,2024,rural,hombres,5.726819541375872,6.1150727,-0.3882531858274971,bajo,moderado
Bocas del Toro,2011-08,2011,rural,mujeres,7.294117647058823,7.223715,0.07040281856761244,moderado,moderado
Bocas del Toro,2012-08,2012,rural,mujeres,4.605185272877945,5.391425,-0.7862398598735201,bajo,bajo
Bocas del Toro,2013-08,2013,rural,mujeres,5.147978324301793,5.6125045,-0.4645261579674944,bajo,bajo
Bocas del Toro,2014-03,2014,rural,mujeres,7.918695744230362,7.3660393,0.5526564681073154,moderado,moderado
Bocas del Toro,2014-08,2014,rural,mujeres,12.847782736682175,11.789294,1.0584884938232886,critico,critico
Bocas del Toro,2015-03,2015,rural,mujeres,6.190572526805584,6.34974,-0.1591675015757641,moderado,moderado
Bocas del Toro,2015-08,2015,rural,mujeres,8.013406459475929,7.1095023,0.9039041439546889,critico,moderado
Bocas del Toro,2016-03,2016,rural,mujeres,5.714052820345614,6.4929857,-0.7789329050572178,bajo,moderado
Bocas del Toro,2016-08,2016,rural,mujeres,2.4826522744795683,3.3322065,-0.8495542131760714,bajo,bajo
Bocas del Toro,2017-08,2017,rural,mujeres,7.006697578567748,6.724077,0.282620353836303,moderado,moderado
Bocas del Toro,2018-08,2018,rural,mujeres,6.057980148101465,6.418658,-0.3606776315921385,moderado,moderado
Bocas del Toro,2019-08,2019,rural,mujeres,6.593902898005269,7.3093886,-0.7154857395374554,moderado,moderado
Bocas del Toro,2021-10,2021,rural,mujeres,4.734020618556701,5.35579,-0.6217695196879278,bajo,bajo
Bocas del Toro,2022-04,2022,rural,mujeres,5.576881292098211,6.0831447,-0.5062633726661936,bajo,moderado
Bocas del Toro,2023-08,2023,rural,mujeres,5.221460094645611,5.413917,-0.19245697002113715,bajo,bajo
Bocas del Toro,2024-10,2024,rural,mujeres,8.464281734091163,7.965047,0.49923485146176816,critico,moderado
Bocas del Toro,2011-08,2011,rural,total,6.338556426071011,6.5620766,-0.22352014253250463,moderado,moderado
Bocas del Toro,2012-08,2012,rural,total,5.917289925208975,5.928746,-0.011456298240732465,bajo,bajo
Bocas del Toro,2013-08,2013,rural,total,6.020960339749298,5.75231,0.26865054055496174,moderado,bajo
Bocas del Toro,2014-03,2014,rural,total,6.914031518328219,7.0401497,-0.12611817039248407,moderado,moderado
Bocas del Toro,2014-08,2014,rural,total,9.008251092056302,8.737358,0.27089299879458295,critico,critico
Bocas del Toro,2015-03,2015,rural,total,6.724511930585683,6.9994206,-0.27490871226710034,moderado,moderado
