provincia,periodo,anio,real,predicho,residuo,residuo_abs,riesgo_real,riesgo_pred
Bocas del Toro,2014-03,2014,6.858564321250888,6.123414311499166,0.7351500097517221,0.7351500097517221,moderado,moderado
Chiriquí,2014-03,2014,3.7447566886179393,3.6527079170291734,0.0920487715887659,0.0920487715887659,bajo,bajo
Coclé,2014-03,2014,3.1358087711114826,3.0402305986026654,0.09557817250881717,0.09557817250881717,bajo,bajo
Colón,2014-03,2014,8.3357483468135,7.562085783597328,0.7736625632161713,0.7736625632161713,critico,moderado
Comarca Emberá,2014-03,2014,0.0,1.2509599327174796,-1.2509599327174796,1.2509599327174796,bajo,bajo
Comarca Kuna Yala,2014-03,2014,0.8478220802359157,1.0082989522804633,-0.16047687204454764,0.16047687204454764,bajo,bajo
Comarca Ngäbe Buglé,2014-03,2014,0.5890191897654584,1.2540168184648421,-0.6649976286993837,0.6649976286993837,bajo,bajo
Darién,2014-03,2014,1.2130732643888815,0.3450794895988336,0.8679937747900479,0.8679937747900479,bajo,bajo
Herrera,2014-03,2014,2.620624751149238,2.686669944661464,-0.06604519351222571,0.06604519351222571,bajo,bajo
Los Santos,2014-03,2014,2.494098970191966,2.6792430803021814,-0.18514411011021537,0.18514411011021537,bajo,bajo
Panamá,2014-03,2014,4.938412599372706,4.67008969050232,0.26832290887038557,0.26832290887038557,bajo,bajo
Panamá Oeste,2014-03,2014,4.009408745856944,3.4859043606758835,0.5235043851810603,0.5235043851810603,bajo,bajo
Veraguas,2014-03,2014,2.939930689256835,2.923744395423677,0.01618629383315806,0.01618629383315806,bajo,bajo
Bocas del Toro,2014-08,2014,8.164919485572247,7.4418680463390015,0.7230514392332452,0.7230514392332452,critico,moderado
Chiriquí,2014-08,2014,4.252352542523526,4.373203276643756,-0.12085073412023029,0.12085073412023029,bajo,bajo
Coclé,2014-08,2014,4.210696280880533,4.079615494450377,0.13108078643015553,0.13108078643015553,bajo,bajo
Colón,2014-08,2014,9.554167601235356,9.551034413567058,0.0031331876682987314,0.0031331876682987314,critico,critico
Comarca Emberá,2014-08,2014,0.0,0.5384236809942693,-0.5384236809942693,0.5384236809942693,bajo,bajo
Comarca Kuna Yala,2014-08,2014,3.3372025536854326,0.8314893739876412,2.5057131796977914,2.5057131796977914,bajo,bajo
Comarca Ngäbe Buglé,2014-08,2014,0.0,0.8166270644237525,-0.8166270644237525,0.8166270644237525,bajo,bajo
Darién,2014-08,2014,1.3472084286886308,1.9092011068180779,-0.5619926781294471,0.5619926781294471,bajo,bajo
Herrera,2014-08,2014,3.3172572120090407,3.2180807172187214,0.09917649479031931,0.09917649479031931,bajo,bajo
Los Santos,2014-08,2014,2.1863195927081622,1.8427634758239568,0.3435561168842054,0.3435561168842054,bajo,bajo
Panamá,2014-08,2014,5.369966168285496,6.635330339113024,-1.2653641708275272,1.2653641708275272,bajo,moderado
Panamá Oeste,2014-08,2014,4.40036532203598,4.285590323697622,0.11477499833835836,0.11477499833835836,bajo,bajo
Veraguas,2014-08,2014,3.2359823044058995,3.6306746920915716,-0.39469238768567205,0.39469238768567205,bajo,bajo
Bocas del Toro,2015-03,2015,7.755799316669663,7.865378226570303,-0.10957890990064012,0.10957890990064012,moderado,moderado
Chiriquí,2015-03,2015,3.713839151059804,3.815627076922846,-0.10178792586304208,0.10178792586304208,bajo,bajo
Coclé,2015-03,2015,3.288822285851909,3.158907975571161,0.12991431028074807,0.12991431028074807,bajo,bajo
Colón,2015-03,2015,8.594324486930944,8.577336057317794,0.016988429613149947,0.016988429613149947,critico,critico
Comarca Emberá,2015-03,2015,0.5139802631578948,0.011717207272655017,0.5022630558852398,0.5022630558852398,bajo,bajo
Comarca Kuna Yala,2015-03,2015,1.4479113878230652,1.4394428753150201,0.008468512508045034,0.008468512508045034,bajo,bajo
Comarca Ngäbe Buglé,2015-03,2015,0.2996372811859328,0.5857790690195825,-0.28614178783364974,0.28614178783364974,bajo,bajo
Darién,2015-03,2015,0.9378168300101386,0.8889239490304046,0.04889288097973399,0.04889288097973399,bajo,bajo
Herrera,2015-03,2015,2.8767820773930755,2.9647943857415537,-0.08801230834847829,0.08801230834847829,bajo,bajo
Los Santos,2015-03,2015,2.066448933510746,2.0987278253598265,-0.032278891849080615,0.032278891849080615,bajo,bajo
Panamá,2015-03,2015,5.995330648764843,6.080474705299869,-0.0851440565350261,0.0851440565350261,bajo,moderado
Panamá Oeste,2015-03,2015,6.111737134006012,5.509228072904685,0.6025090611013271,0.6025090611013271,moderado,bajo
Veraguas,2015-03,2015,3.880879839488742,4.038720419768206,-0.1578405802794638,0.1578405802794638,bajo,bajo
Bocas del Toro,2015-08,2015,8.170375168501952,8.03145134172775,0.13892382677420123,0.13892382677420123,critico,critico
Chiriquí,2015-08,2015,3.9514972207279895,4.164647633520773,-0.21315041279278368,0.21315041279278368,bajo,bajo
